state,year,votes,category,perwt,cat,question_id_mapped,region,respondents,question,democrat,total,democrat_cred,votes_total,votes_dem
MD,2012,2734062,black,1194093,race_sel,260,South,1280,Vote by Race,97,28,97,765537.36,742571.2392
MD,2012,2734062,latino,164832,race_sel,260,South,1280,Vote by Race,,7,61.9304985560116,164832,102081.279379845
MD,2012,2734062,other,87462,race_sel,260,South,1280,Vote by Race,,2,55.4526033154331,54681.24,30322.1711051599
MD,2012,2734062,white,2514086,race_sel,260,South,1280,Vote by Race,43,59,43,1613096.58,693631.5294
MD,2012,2734062,0,2493114,inc_sel,917,South,1280,Vote by Income,70,56,70,1531074.72,1071752.304
MD,2012,2734062,1,1644227,inc_sel,917,South,1280,Vote by Income,51,44,51,1202987.28,613523.5128
MD,2016,2781446,0,2415235,educ_sel,1951,South,,,,41.3832588006773,42.7699097371566,1151052.99658109,492304.327664567
MD,2016,2781446,1,1833055,educ_sel,1951,South,,,,58.6167411993227,47.6575247973468,1630393.00341891,777004.949898576
MD,2016,2781446,asian,212904,race_sel,260,South,,,,5.14398682162139,72,143077.215690515,103015.595297171
MD,2016,2781446,black,1245744,race_sel,260,South,,,,27.2319068019858,87.7692895887596,757440.782467561,664800.39382732
MD,2016,2781446,latino,200432,race_sel,260,South,,,,4.18679686251024,61.6474876183559,116453.493860417,71790.6532087431
MD,2016,2781446,other,105753,race_sel,260,South,,,,4.02320622973928,56.6608608331314,105753,59920.5601568614
MD,2016,2781446,white,2483457,race_sel,260,South,,,,59.4141032841433,29.3983957197616,1652571.19923267,485829.42070123
MD,2016,2781446,0,2433056,inc_sel,917,South,,,,50.4388553763222,48.5656534531744,1402929.5253105,681341.891454563
MD,2016,2781446,1,1815234,inc_sel,917,South,,,,49.5611446236778,41.335218022973,1378516.4746895,569812.790295507
ME,2008,744456,0,705733,educ_sel,1951,Northeast,,,,56.5499080971837,60.6382751532733,420989.18382397,255280.579652698
ME,2008,744456,1,319985,educ_sel,1951,Northeast,,,,43.4500919028163,64.7086219578238,319985,207057.883971742
ME,2008,744456,asian,5373,race_sel,260,Northeast,1561,Vote by Race,,0,66.6212867592178,0,0
ME,2008,744456,black,4437,race_sel,260,Northeast,1561,Vote by Race,,1,95.6250352166092,4437,4242.88281256095
ME,2008,744456,latino,7117,race_sel,260,Northeast,1561,Vote by Race,,1,75.3838231799097,7117,5365.06669571417
ME,2008,744456,other,15959,race_sel,260,Northeast,1561,Vote by Race,,1,70.071427376871,7444.56,5216.50945392759
ME,2008,744456,white,992832,race_sel,260,Northeast,1561,Vote by Race,58,96,58,714677.76,414513.1008
ME,2012,724758,0,683973,educ_sel,1951,Northeast,2275,Are You a College Graduate?,53,52,53,376874.16,199743.3048
ME,2012,724758,1,360240,educ_sel,1951,Northeast,2275,Are You a College Graduate?,61,48,61,347883.84,212209.1424
ME,2012,724758,asian,5716,race_sel,260,Northeast,2275,Vote by Race,,0,66.923240363423,0,0
ME,2012,724758,black,5297,race_sel,260,Northeast,2275,Vote by Race,,1,93.4742722207185,5297,4951.33219953146
ME,2012,724758,latino,11090,race_sel,260,Northeast,2275,Vote by Race,,1,83.2840731722545,7247.58,6036.07983041768
ME,2012,724758,other,18800,race_sel,260,Northeast,2275,Vote by Race,,2,60.0409756340874,14495.16,8703.03548372197
ME,2012,724758,white,1003310,race_sel,260,Northeast,2275,Vote by Race,57,96,57,695767.68,396587.5776
